dhf,dlf,whf,wlf,dha,dla,dhw,dlw,whw,wlw,hr
16.5,18.75,20.5,24.5,17.75,20,17,17.75,21,23.75,25.36666667
16.75,19.75,20.75,25.5,20.25,20,17,18.25,20,23.75,25.53333333
16.75,20,20.75,27.25,22.5,20,17,18,20.75,23.75,25.7
16.75,20,20.75,28,21.5,20,17,18.5,21.75,23.75,25.86666667
16.75,20,20.75,28,21.25,20.25,17,18,21.75,23.75,26.03333333
16.75,20,20.75,28,21.5,20,17,18.5,20.5,23.75,26.2
17,20,20.75,28,21.25,20.5,17,18,20.75,23.75,26.36666667
17,20,20.75,28,21.25,20.5,17,18.5,21.5,23.75,26.53333333
16.75,20,20.75,28,21.25,20.5,17,18.5,21.75,23.75,26.7
16.75,20,20.75,28,21.25,20.5,17,18.75,20.5,23.75,26.86666667
16.75,19.75,20.75,28,21.25,20.5,17,18.5,20.5,23.75,27.03333333
17,20,20.75,28,21.25,20.5,17,19,21.5,23.75,27.2
17.25,20,20.75,28,21.25,20.5,17,18.5,21.75,23.75,27.36666667
17,20,20.75,28,21.25,20.5,16.75,19,21,23.75,27.53333333
16.75,20,20.75,28,21.25,20.75,17,18.5,20.5,23.75,27.7
17,20,20.75,28,21.25,21,17,19.25,21.25,23.75,27.86666667
17,20,20.75,28,21.25,20.75,17,19,22,23.75,28.03333333
17.25,20,20.75,28,21.25,21,17,19.5,21.25,23.75,28.2
17.25,20,20.75,28,21.25,21,17,19,20.5,23.75,28.36666667
17.25,20,20.75,28,21.25,21,17,19.5,20.75,23.75,28.53333333
17.25,20,20.75,28,21.25,21,17,19,21.75,23.75,28.7
17.25,20,21.25,28,21.25,21,17,19.5,21.5,23.75,28.86666667
17.25,20,21.25,28,21.25,21.5,17,19,20.5,23.75,29.03333333
17.25,19.75,21,28,21.25,21,17,19.5,20.75,23.75,29.2
17.25,20,21,28,21.25,21.5,17,19,21.5,23.75,29.36666667
17.25,20,21.25,28,21.25,21,17,19.5,21.75,23.75,29.53333333
17.25,19.75,21.25,28,21.25,21.5,17,19,20.75,23.75,29.7
17.25,20,21,28,21.25,21,17,19.5,20.5,23.75,29.86666667
17.25,20,21.25,28,21.25,21.5,17,19,21.25,23.75,30.03333333
17.25,19.75,21.25,28,21.25,21,17,19.5,21.75,23.75,30.2
17.25,20,21.25,28,21.25,21.5,17,19,21.25,23.75,30.36666667
17.25,19.75,21.25,28,21.25,21,17,19.5,20.25,23.75,30.53333333
17.25,20,21.25,28,21.25,21.5,17,19,20.75,23.75,30.7
17.5,19.75,21.25,28,21.25,21,17,19.5,21.75,23.75,30.86666667
17,20,21.25,28,21.25,21.5,17,19,21.75,23.75,31.03333333
17.25,20,21.25,28,21.25,21,17,19.5,20.5,23.75,31.2
17.25,20,21.25,28,21,21.5,17,19.5,20.5,23.75,31.36666667
17.25,19.75,21.25,28,21,21.25,17,19.5,21.5,23.75,31.53333333
17.25,20,21.25,28,21,21,17,19.5,21.5,23.75,31.7
17.25,19.75,21.25,28,20.75,21.5,17,19.5,20.5,23.75,31.86666667
17.25,20,21.25,28,21,21,17,19.5,20.5,23.75,32.03333333
17.25,20,21.25,28,21,21.5,17,19.5,21.5,23.75,32.2
17.5,20,21.25,28,20.75,21,17,19.5,21.75,23.75,32.36666667
17.5,20,21.25,28,20.75,21.5,17,19.5,21,23.75,32.53333333
17,20,21.25,28,20.75,21,17,19.5,20.25,23.75,32.7
